tic_id,true_label,predicted_label,decision,is_correct_class,is_planet_candidate,candidate_priority,planet_threshold,threshold_source,confidence,planet_probability,prob_eclipsing_binary,prob_false_positive,prob_planet,period_days,duration_hours,depth_percent,snr,bls_power,n_points_used,n_in_transit_points,n_detected_transits,odd_even_depth_difference,secondary_eclipse_depth,v_shape_score,baseline_days
299799658,planet,planet,Strong planet candidate,True,True,high,0.2,optimized,0.8092810591110521,0.8092810591110521,0.02653750854832106,0.1641814323406275,0.8092810591110521,4.1174613374193445,1.296,0.0350249215950615,7.597528219579519,1.800844583041526e-05,18275,270,7,9.855620333021342e-05,-2.8103710497329185e-05,0.0002317179439615,27.88031855884242
317060587,planet,planet,Strong planet candidate,True,True,high,0.2,optimized,0.796132337589297,0.796132337589297,0.027288169181261236,0.17657949322944255,0.796132337589297,9.146379132624894,2.52,0.0261583092243999,6.655821233603824,7.568334838444204e-06,18276,222,3,4.547626648077063e-05,-3.61772753706413e-05,0.0001993212924012,27.880047785535
366989877,planet,planet,Strong planet candidate,True,True,high,0.2,optimized,0.7917998888022261,0.7917998888022261,0.022921430837495864,0.1852786803602781,0.7917998888022261,0.5391546524804378,7.199999999999999,0.0032740987131241,7.430941305295287,7.980334519090393e-06,19436,10943,53,1.43194839078431e-05,,1.0093440482861205e-05,28.436523743466523
380783252,planet,planet,Strong planet candidate,True,True,high,0.2,optimized,0.7819477754230146,0.7819477754230146,0.1143387852915295,0.10371343928545647,0.7819477754230146,9.447737421368968,1.296,1.7616207769536096,89.0235343644455,0.0162459185874516,19435,117,3,0.0001006090711431,4.3695200225846165e-05,0.0087401396671322,28.43428336789475
421894914,planet,planet,Strong planet candidate,True,True,high,0.2,optimized,0.7787877391489694,0.7787877391489694,0.023726929574999476,0.1974853312760318,0.7787877391489694,5.3009653591838,1.872,0.0257323605691528,5.826732382167938,1.2901834738362529e-05,18277,332,6,2.113791150981648e-05,9.40613593691797e-06,7.762111705267305e-05,27.880037748206178
409934330,planet,planet,Strong planet candidate,True,True,high,0.2,optimized,0.7505289086136908,0.7505289086136908,0.040350915803695236,0.20912017558261478,0.7505289086136908,2.4886123774304347,2.52,0.2453762581323904,95.9139818012448,0.0020332311814153,19095,715,11,9.029782014458032e-05,0.0001389307727898,0.0008217006712335,28.43622316958317
231670397,planet,planet,Strong planet candidate,True,True,high,0.2,optimized,0.7473430544768012,0.7473430544768012,0.05572407637405199,0.1969328691491476,0.7473430544768012,4.088841992836453,4.824,0.1716326417059543,53.43040166284656,0.0014330524376428,18277,911,7,0.0002839455766188,3.427776253273063e-05,0.0003863265415179,27.88002609456657
327301957,planet,planet,Strong planet candidate,True,True,high,0.2,optimized,0.7408813727229693,0.7408813727229693,0.029525818972134726,0.22959280830489723,0.7408813727229693,13.920302269231737,3.096,0.0808912303106978,6.960810549653514,6.789792201783162e-05,17955,186,2,0.000273272799211,5.2808610439103454e-05,3.001047200468232e-05,28.43632888307729
304100538,planet,planet,Strong planet candidate,True,True,high,0.2,optimized,0.7307002392197895,0.7307002392197895,0.06365437966624464,0.20564538111396607,0.7307002392197895,0.500028947410215,6.6240000000000006,0.0206238361181276,25.70237242861737,0.0002215371215558,18275,10199,56,7.34310533645477e-05,,0.0001033347190989,27.88039822266205
295541511,planet,planet,Strong planet candidate,True,True,high,0.2,optimized,0.7069462507243458,0.7069462507243458,0.028221349873762826,0.26483239940189124,0.7069462507243458,0.5071290227952441,7.199999999999999,0.0085890411676059,3.0143366849950146,0.0001183204084149,19367,11431,55,3.470786682113758e-05,,4.787581921328332e-05,27.94765678781096
